gene_id	gene_name	pval
LOC111130340	LOC111130340	7.176592138870911e-06
LOC111137659	LOC111137659	7.259584763429516e-06
LOC111137624	LOC111137624	7.506579798620649e-06
LOC111113548	LOC111113548	7.565593532682034e-06
LOC111136888	LOC111136888	7.590690790831884e-06
LOC111100909	LOC111100909	7.690425551890992e-06
LOC111121613	LOC111121613	7.691293968008598e-06
LOC111134368	LOC111134368	7.863654742756915e-06
LOC111112705	LOC111112705	7.929766590385956e-06
LOC111136379	LOC111136379	8.080256252381126e-06
LOC111125169	LOC111125169	8.119844826342033e-06
LOC111106783	LOC111106783	8.149332733911237e-06
LOC111136660	LOC111136660	8.164666174850674e-06
LOC111134457	LOC111134457	8.365358437659304e-06
LOC111134872	LOC111134872	8.407835386569742e-06
LOC111127932	LOC111127932	8.669151719095679e-06
LOC111109591	LOC111109591	8.754619172330728e-06
LOC111119720	LOC111119720	8.848993399930608e-06
LOC111122540	LOC111122540	8.855094598496362e-06
LOC111122441	LOC111122441	8.864155731483809e-06
LOC111135203	LOC111135203	8.910351556628036e-06
LOC111105864	LOC111105864	8.995411607642519e-06
LOC111110577	LOC111110577	9.015852469331212e-06
LOC111107097	LOC111107097	9.060186739168179e-06
LOC111123472	LOC111123472	9.074093509094017e-06
LOC111111069	LOC111111069	9.245249633062028e-06
LOC111127727	LOC111127727	9.266589506687168e-06
LOC111132042	LOC111132042	9.271759193231564e-06
LOC111130853	LOC111130853	9.291596233757963e-06
LOC111104507	LOC111104507	9.33538173338709e-06
LOC111111632	LOC111111632	9.343622699926006e-06
LOC111111634	LOC111111634	9.451023849516884e-06
LOC111134220	LOC111134220	9.849667703330633e-06
LOC111128597	LOC111128597	9.981187259285821e-06
LOC111103353	LOC111103353	1.0084512900163966e-05
LOC111109174	LOC111109174	1.0153012031268122e-05
LOC111119396	LOC111119396	1.0169050121771729e-05
LOC111121405	LOC111121405	1.0202083270420124e-05
LOC111112018	LOC111112018	1.0264180579193519e-05
LOC111118281	LOC111118281	1.0344221393744247e-05
LOC111112767	LOC111112767	1.0355893224242504e-05
LOC111126831	LOC111126831	1.052718079831858e-05
LOC111121884	LOC111121884	1.0695021000928664e-05
LOC111110381	LOC111110381	1.0738953259296577e-05
LOC111115361	LOC111115361	1.0806827791615324e-05
LOC111124918	LOC111124918	1.0939384435786744e-05
LOC111127800	LOC111127800	1.1013791235822853e-05
LOC111116862	LOC111116862	1.1088140091583534e-05
LOC111101123	LOC111101123	1.1213508674439766e-05
LOC111100263	LOC111100263	1.1300632517589576e-05
LOC111110148	LOC111110148	1.1349077749476505e-05
LOC111119159	LOC111119159	1.1436707692187638e-05
LOC111120626	LOC111120626	1.1551215824189744e-05
LOC111127542	LOC111127542	1.1576430677234851e-05
LOC111135171	LOC111135171	1.1744352204550945e-05
LOC111128819	LOC111128819	1.1749679469627116e-05
LOC111121392	LOC111121392	1.1903506476188203e-05
LOC111134053	LOC111134053	1.1932695574659654e-05
LOC111132420	LOC111132420	1.2002468009640653e-05
LOC111135584	LOC111135584	1.2009344304522101e-05
LOC111136722	LOC111136722	1.2039597716673334e-05
LOC111121718	LOC111121718	1.2145318683183556e-05
LOC111105636	LOC111105636	1.2163283886551457e-05
LOC111114644	LOC111114644	1.2309056642905757e-05
LOC111111668	LOC111111668	1.2453662682525757e-05
LOC111112893	LOC111112893	1.2485378423691016e-05
LOC111105522	LOC111105522	1.2593742166955967e-05
LOC111123283	LOC111123283	1.2711311371714078e-05
LOC111109526	LOC111109526	1.2738111099766176e-05
LOC111130085	LOC111130085	1.2874699630136495e-05
LOC111107550	LOC111107550	1.3039262193906518e-05
LOC111129322	LOC111129322	1.305212969813678e-05
LOC111123343	LOC111123343	1.3073861455383935e-05
LOC111124694	LOC111124694	1.3203441443233332e-05
LOC111126033	LOC111126033	1.3278324919025923e-05
LOC111110874	LOC111110874	1.3394896403660136e-05
LOC111105394	LOC111105394	1.3420006738242617e-05
LOC111132157	LOC111132157	1.3609317439697885e-05
LOC111107094	LOC111107094	1.381059670032149e-05
LOC111131055	LOC111131055	1.385505635487146e-05
LOC111135918	LOC111135918	1.3887788385186246e-05
LOC111136878	LOC111136878	1.391608308703087e-05
LOC111106604	LOC111106604	1.3972523184457977e-05
LOC111104852	LOC111104852	1.4023473407258872e-05
LOC111111416	LOC111111416	1.406177643202172e-05
LOC111126602	LOC111126602	1.4215174444970373e-05
LOC111117165	LOC111117165	1.4276780966418249e-05
LOC111110638	LOC111110638	1.4379804436911454e-05
LOC111133342	LOC111133342	1.440570334482272e-05
LOC111119240	LOC111119240	1.4511707082569993e-05
LOC111122825	LOC111122825	1.4600487888902499e-05
LOC111126856	LOC111126856	1.4836021225396371e-05
LOC111099056	LOC111099056	1.503203416814742e-05
